id,name,type,nutrition,value,unit,url,value_level
1,Agedashi Tofu,appetizer,Calories,328,kcal,https://www.justonecookbook.com/wp-content/uploads/2021/10/Agedashi-Tofu-3261-I-500x500.jpg,-0.19845093872383832
2,Agedashi Tofu,appetizer,Protein,13,g,https://www.justonecookbook.com/wp-content/uploads/2021/10/Agedashi-Tofu-3261-I-500x500.jpg,0.26236426446749106
3,Agedashi Tofu,appetizer,Sodium,345,mg,https://www.justonecookbook.com/wp-content/uploads/2021/10/Agedashi-Tofu-3261-I-500x500.jpg,-0.1479201300766222
4,Agedashi Tofu,appetizer,Potassium,238,mg,https://www.justonecookbook.com/wp-content/uploads/2021/10/Agedashi-Tofu-3261-I-500x500.jpg,-1.0788096613719298
5,Agedashi Tofu,appetizer,Calcium,191,mg,https://www.justonecookbook.com/wp-content/uploads/2021/10/Agedashi-Tofu-3261-I-500x500.jpg,-0.046043938501406846
6,Ankimo,appetizer,Calories,436,kcal,https://www.justonecookbook.com/wp-content/uploads/2018/12/Ankimo-I-500x500.jpg,0.08617769624105241
7,Ankimo,appetizer,Protein,10,g,https://www.justonecookbook.com/wp-content/uploads/2018/12/Ankimo-I-500x500.jpg,0
8,Ankimo,appetizer,Sodium,349,mg,https://www.justonecookbook.com/wp-content/uploads/2018/12/Ankimo-I-500x500.jpg,-0.13639262490555476
9,Ankimo,appetizer,Potassium,37,mg,https://www.justonecookbook.com/wp-content/uploads/2018/12/Ankimo-I-500x500.jpg,-2.94016242239918
10,Ankimo,appetizer,Calcium,12,mg,https://www.justonecookbook.com/wp-content/uploads/2018/12/Ankimo-I-500x500.jpg,-2.8134107167600364
11,Sweet and Spicy BBQ Chicken Wings,appetizer,Calories,463,kcal,https://www.justonecookbook.com/wp-content/uploads/2020/05/Sweet-and-Spicy-BBQ-Chicken-Wings-9325-I-1-500x500.jpg,0.14626250697825208
12,Sweet and Spicy BBQ Chicken Wings,appetizer,Protein,35,g,https://www.justonecookbook.com/wp-content/uploads/2020/05/Sweet-and-Spicy-BBQ-Chicken-Wings-9325-I-1-500x500.jpg,1.252762968495368
13,Sweet and Spicy BBQ Chicken Wings,appetizer,Sodium,519,mg,https://www.justonecookbook.com/wp-content/uploads/2020/05/Sweet-and-Spicy-BBQ-Chicken-Wings-9325-I-1-500x500.jpg,0.2604393360579067
14,Sweet and Spicy BBQ Chicken Wings,appetizer,Potassium,318,mg,https://www.justonecookbook.com/wp-content/uploads/2020/05/Sweet-and-Spicy-BBQ-Chicken-Wings-9325-I-1-500x500.jpg,-0.7890289522632278
15,Sweet and Spicy BBQ Chicken Wings,appetizer,Calcium,45,mg,https://www.justonecookbook.com/wp-content/uploads/2020/05/Sweet-and-Spicy-BBQ-Chicken-Wings-9325-I-1-500x500.jpg,-1.491654876777717
16,BBQ King Crab,appetizer,Calories,50,kcal,https://www.justonecookbook.com/wp-content/uploads/2013/05/BBQ-King-Crab-400x400.jpg,-2.0794415416798357
17,BBQ King Crab,appetizer,Protein,10,g,https://www.justonecookbook.com/wp-content/uploads/2013/05/BBQ-King-Crab-400x400.jpg,0
18,BBQ King Crab,appetizer,Sodium,594,mg,https://www.justonecookbook.com/wp-content/uploads/2013/05/BBQ-King-Crab-400x400.jpg,0.395414772254663
19,BBQ King Crab,appetizer,Potassium,124,mg,https://www.justonecookbook.com/wp-content/uploads/2013/05/BBQ-King-Crab-400x400.jpg,-1.730798769438368
20,BBQ King Crab,appetizer,Calcium,28,mg,https://www.justonecookbook.com/wp-content/uploads/2013/05/BBQ-King-Crab-400x400.jpg,-1.9661128563728327
21,Boiled Squid with Miso Vinaigrette,appetizer,Calories,154,kcal,https://www.justonecookbook.com/wp-content/uploads/2012/07/Boiled-Squid-with-Miso-Vinaigrette-400x400.jpg,-0.9545119446943529
22,Boiled Squid with Miso Vinaigrette,appetizer,Protein,20,g,https://www.justonecookbook.com/wp-content/uploads/2012/07/Boiled-Squid-with-Miso-Vinaigrette-400x400.jpg,0.6931471805599453
23,Boiled Squid with Miso Vinaigrette,appetizer,Sodium,370,mg,https://www.justonecookbook.com/wp-content/uploads/2012/07/Boiled-Squid-with-Miso-Vinaigrette-400x400.jpg,-0.0779615414697118
24,Boiled Squid with Miso Vinaigrette,appetizer,Potassium,317,mg,https://www.justonecookbook.com/wp-content/uploads/2012/07/Boiled-Squid-with-Miso-Vinaigrette-400x400.jpg,-0.7921785611661241
25,Boiled Squid with Miso Vinaigrette,appetizer,Calcium,45,mg,https://www.justonecookbook.com/wp-content/uploads/2012/07/Boiled-Squid-with-Miso-Vinaigrette-400x400.jpg,-1.491654876777717
