month,mirin,sake,daikon,dashi
2004-01,12,48,13,5
2004-02,9,34,20,5
2004-03,18,44,5,3
2004-04,9,57,10,4
2004-05,5,29,10,5
2004-06,16,42,14,6
2004-07,14,41,13,7
2004-08,9,48,6,6
2004-09,10,51,9,13
2004-10,7,53,12,5
2004-11,11,50,12,4
2004-12,13,47,9,7
2005-01,14,40,25,12
2005-02,12,56,17,8
2005-03,8,54,18,9
2005-04,7,42,11,8
2005-05,9,50,15,10
2005-06,10,33,13,8
2005-07,13,38,14,9
2005-08,8,51,12,4
2005-09,14,44,9,4
2005-10,6,55,15,8
2005-11,10,52,14,9
2005-12,8,55,11,6
2006-01,13,54,10,11
2006-02,14,59,14,13
2006-03,17,54,16,7
2006-04,14,45,12,8
2006-05,11,50,18,7
2006-06,11,41,15,6
2006-07,13,43,14,10
2006-08,11,50,11,8
2006-09,14,44,17,11
2006-10,11,52,15,9
2006-11,10,47,18,9
2006-12,9,59,12,13
2007-01,12,50,19,6
2007-02,14,56,18,7
2007-03,16,47,15,7
2007-04,9,42,13,13
2007-05,12,41,12,6
2007-06,16,50,11,9
2007-07,14,49,16,8
2007-08,13,50,11,11
2007-09,12,50,14,8
2007-10,12,43,21,11
2007-11,12,54,24,12
2007-12,11,62,20,7
2008-01,18,51,17,15
2008-02,17,56,24,12
2008-03,14,50,18,10
2008-04,15,54,17,12
2008-05,16,47,14,9
2008-06,15,50,16,12
2008-07,14,57,14,8
2008-08,19,46,16,13
2008-09,15,46,12,12
2008-10,12,46,15,13
2008-11,14,50,19,14
2008-12,17,57,17,16
2009-01,21,53,20,14
2009-02,20,54,20,13
2009-03,17,54,19,11
2009-04,18,46,21,11
2009-05,15,45,18,8
2009-06,14,42,15,9
2009-07,21,52,22,12
2009-08,16,48,17,12
2009-09,21,49,19,12
2009-10,14,47,21,14
2009-11,12,47,20,13
2009-12,15,51,23,19
2010-01,21,55,29,19
2010-02,22,49,21,12
2010-03,17,44,24,14
2010-04,17,42,18,14
2010-05,18,46,18,14
2010-06,18,44,20,12
2010-07,16,51,20,13
2010-08,17,56,17,10
2010-09,17,55,20,11
2010-10,18,48,25,14
2010-11,14,54,24,14
2010-12,13,57,21,12
2011-01,25,59,28,20
2011-02,18,63,24,15
2011-03,23,64,29,18
2011-04,21,55,30,16
2011-05,22,47,24,14
2011-06,22,54,23,14
2011-07,25,62,23,15
2011-08,23,54,19,16
2011-09,21,54,21,15
2011-10,17,47,25,16
2011-11,18,55,30,14
2011-12,20,64,24,16
2012-01,26,64,33,22
2012-02,26,61,31,19
2012-03,26,61,26,21
2012-04,25,57,22,18
2012-05,23,55,25,17
2012-06,23,53,26,12
2012-07,27,56,26,16
2012-08,28,57,20,13
2012-09,24,56,25,14
2012-10,22,52,25,13
2012-11,21,51,26,15
2012-12,23,57,26,16
2013-01,29,59,32,22
2013-02,32,57,28,21
2013-03,28,58,30,17
2013-04,25,58,28,16
2013-05,26,53,23,15
2013-06,27,54,27,17
2013-07,26,56,27,16
2013-08,28,55,25,19
2013-09,24,51,24,16
2013-10,24,47,30,28
2013-11,26,52,31,20
2013-12,22,57,26,18
2014-01,33,62,33,24
2014-02,32,58,28,18
2014-03,27,60,29,16
2014-04,25,53,27,15
2014-05,26,52,41,17
