Week,sake,mirin,dashi,miso,daikon radish,shiso leaves,kombu,katsuobushi,shichimi togarashi,shiitake mushrooms,Japanese mayonnaise,Tokyo negi
4/30/17,55,6,5,25,4,4,21,4,1,49,16,0
5/7/17,54,6,4,25,4,2,15,1,1,53,32,5
5/14/17,56,6,4,26,5,2,13,2,0,61,28,6
5/21/17,54,6,4,26,5,2,17,3,2,52,35,12
5/28/17,56,6,4,27,5,2,21,3,2,61,12,6
6/4/17,55,6,4,26,5,1,17,2,1,48,45,0
6/11/17,53,6,4,26,5,3,12,2,2,52,28,6
6/18/17,51,6,4,25,4,1,23,1,1,55,38,0
6/25/17,54,6,4,25,5,2,17,2,0.5,43,52,0
7/2/17,56,6,4,25,5,2,18,1,1,48,48,0
7/9/17,59,7,4,28,5,3,14,2,3,48,35,0
7/16/17,54,7,4,34,5,3,11,2,1,47,28,0
7/23/17,56,7,4,26,6,1,22,2,0.5,44,34,6
7/30/17,54,6,4,29,5,2,17,1,2,50,39,6
8/6/17,53,7,5,30,4,2,17,2,1,50,28,0
8/13/17,54,5,5,28,4,2,18,2,1,51,17,0
8/20/17,52,6,4,27,5,3,16,2,3,48,5,5
8/27/17,52,6,3,26,4,4,17,3,0,50,27,11
9/3/17,51,6,4,27,4,2,17,2,2,58,26,5
9/10/17,52,7,5,26,4,1,17,5,1,45,16,5
9/17/17,52,5,4,25,5,1,14,2,2,54,16,0
9/24/17,51,6,4,26,5,1,19,1,2,51,37,5
10/1/17,54,5,4,25,4,1,20,0,3,51,32,5
10/8/17,51,6,4,26,5,2,19,2,3,56,31,0
10/15/17,51,5,4,28,5,2,19,2,2,53,11,0
10/22/17,50,5,4,26,5,1,17,1,1,52,10,5
10/29/17,48,5,5,26,6,2,21,3,1,49,21,5
11/5/17,53,6,4,30,5,2,18,3,2,56,21,5
11/12/17,51,5,4,29,5,1,21,1,3,67,21,31
11/19/17,55,5,4,27,4,0.5,22,3,2,63,33,0
11/26/17,51,5,4,26,4,4,18,1,2,51,20,5
12/3/17,51,5,4,29,5,1,17,2,1,55,20,5
12/10/17,52,5,3,27,4,0,18,1,1,53,16,10
12/17/17,54,5,4,29,3,1,17,3,4,58,5,5
12/24/17,64,6,5,31,6,0.5,25,4,2,54,36,6
12/31/17,56,8,6,39,6,2,35,2,1,76,32,0
1/7/18,52,8,5,39,6,1,30,3,4,68,31,0
1/14/18,58,8,5,44,6,1,31,2,3,62,41,10
1/21/18,53,7,4,37,5,0.5,22,3,3,59,15,5
1/28/18,53,7,5,34,6,2,25,1,2,57,15,5
2/4/18,52,6,4,32,5,1,23,2,1,57,40,15
2/11/18,60,7,5,36,6,1,19,2,1,67,36,0
2/18/18,58,8,5,35,6,0.5,23,2,1,64,25,5
2/25/18,58,7,5,35,6,1,38,3,2,65,25,0
3/4/18,53,7,4,34,4,0.5,20,3,1,53,25,0
3/11/18,57,7,4,32,4,2,25,4,4,55,25,5
3/18/18,56,6,5,34,5,1,23,3,4,58,10,5
3/25/18,58,6,5,32,6,3,17,9,1,61,36,0
4/1/18,59,6,4,30,4,1,23,4,2,54,37,10
4/8/18,54,7,4,30,5,2,21,3,1,65,56,15
4/15/18,60,7,5,34,5,1,23,4,1,72,26,5
4/22/18,59,6,4,32,6,1,18,5,3,60,61,10
4/29/18,52,7,4,30,5,1,22,2,2,52,30,5
5/6/18,53,6,3,27,6,2,18,2,2,56,26,5
5/13/18,52,5,4,28,5,1,21,3,1,54,10,5
5/20/18,53,6,4,28,6,2,20,1,3,62,16,0
5/27/18,54,7,3,28,6,1,18,5,3,64,22,11
6/3/18,54,7,4,25,5,1,20,0.5,1,57,37,5
6/10/18,55,7,5,30,6,0.5,16,3,1,64,26,0
6/17/18,54,6,4,31,5,2,13,3,3,52,27,5
6/24/18,54,7,4,29,5,1,18,4,3,54,16,0
7/1/18,53,8,4,27,5,1,15,3,2,51,33,0
7/8/18,53,6,4,28,6,2,19,4,1,53,21,0
7/15/18,54,6,4,32,6,3,16,1,1,50,54,11
7/22/18,59,6,5,32,5,3,17,4,2,63,38,0
7/29/18,56,7,4,33,5,2,17,4,2,55,43,11
8/5/18,53,6,5,32,6,2,20,5,2,53,21,0
8/12/18,52,6,4,29,6,2,21,2,1,61,27,5
8/19/18,50,6,4,34,5,1,17,3,3,58,27,0
8/26/18,52,7,4,27,6,2,14,2,4,43,11,5
9/2/18,51,7,4,26,5,2,21,3,1,56,26,11
9/9/18,49,5,4,31,5,0.5,17,2,3,61,41,0
9/16/18,51,6,5,30,5,2,17,3,2,57,21,10
9/23/18,51,5,4,30,5,2,18,3,1,57,10,5
9/30/18,52,5,4,31,4,1,18,2,1,58,41,5
10/7/18,50,6,5,31,5,1,22,1,2,70,21,10
10/14/18,52,6,5,33,5,2,23,3,0,62,26,0
10/21/18,47,6,5,33,4,0.5,22,5,1,65,5,5
10/28/18,51,5,5,33,4,1,23,2,1,54,26,0
11/4/18,48,6,5,33,5,1,15,3,2,67,15,0
11/11/18,53,6,5,33,5,1,28,3,1,62,5,5
11/18/18,52,4,4,28,5,2,16,4,2,71,22,5
11/25/18,49,5,5,30,5,1,19,2,1,57,25,0
12/2/18,50,6,5,33,5,2,24,4,0.5,56,10,10
12/9/18,56,6,5,34,5,0,18,4,1,56,26,0
12/16/18,55,7,5,31,5,2,22,5,3,61,21,5
12/23/18,64,6,5,35,5,1,25,2,3,58,18,18
12/30/18,60,9,6,47,6,2,34,3,3,81,33,0
1/6/19,53,9,6,47,7,3,26,4,3,82,16,5
1/13/19,100,9,6,45,6,1,28,4,1,72,20,0
1/20/19,57,8,5,42,6,1,23,4,3,71,10,0
1/27/19,55,8,5,39,7,2,27,2,4,71,40,0
2/3/19,51,7,5,34,6,1,20,2,3,61,10,5
2/10/19,59,7,5,41,6,2,20,2,1,67,30,20
2/17/19,61,8,6,42,7,0.5,23,2,6,69,35,0
